feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10
0.53255	0.95075	136.492	-0.19240	0.34572	-0.22501	117.744	0.16682	-0.23379	-0.11965
0.21159	107.214	117.889	-0.48132	-0.45437	-0.56898	-0.52677	0.41002	-113.436	-0.36166
0.38371	0.94020	0.86377	-0.03951	0.28731	-0.27388	0.78295	0.81507	-0.31430	-0.28540
0.60340	0.21696	0.44803	-0.61203	0.05182	-0.07958	0.69772	0.47813	-0.02585	-0.00550
0.57474	0.84201	0.80161	0.13320	-0.31464	-0.25153	0.14285	0.49847	-0.56611	-0.23461
115.477	0.05233	0.42809	0.09547	-0.35819	0.20932	0.87314	-0.08550	0.20457	0.20292
0.76088	-0.54551	-0.65135	-0.76818	-0.36986	0.11971	0.11664	0.88988	0.20472	0.09478
0.38655	118.527	151.748	-0.19101	0.15002	-0.38921	0.69186	0.20775	-0.60710	-0.24372
-0.24481	125.302	112.695	-0.79610	112.536	-0.56919	118.046	140.341	-0.37150	-0.49959
0.16259	0.20180	121.516	-212.608	0.48242	-0.36540	0.86002	-0.05386	-0.23609	0.08638
0.37149	-0.23783	-0.32970	-117.913	0.06565	-0.10506	0.26149	113.816	0.04454	-0.05589
0.13471	0.71447	133.653	-129.373	0.92439	-0.34990	148.487	0.40855	-0.08078	-0.10134
0.35237	106.550	0.80001	0.21158	0.47799	-0.25962	100.746	107.954	-0.21715	-0.35671
-0.23145	0.05377	0.62001	-264.597	0.00000	-0.63072	-0.53502	0.58475	-0.80919	-0.13597
0.17497	0.67369	0.49391	-0.59018	0.26619	-0.35058	0.39523	113.151	-0.37769	-0.31679
0.75313	0.56507	0.75486	0.03934	0.09879	-0.03440	102.437	0.34876	-0.00541	-0.04287
108.972	0.52815	0.83580	0.44904	-0.69483	0.02426	0.32806	-0.22861	-0.31653	0.04666
0.16964	0.25243	0.65800	-157.030	-0.11670	-0.41486	-0.13878	0.44879	-0.59645	-0.10691
-0.21385	0.93375	0.18341	-0.52997	0.51016	-0.53648	0.13602	202.326	-0.55082	-0.61244
0.60287	0.61319	0.50951	0.05500	-0.05407	-0.13507	0.53099	0.71509	-0.22421	-0.17834
-0.16577	108.655	0.83680	-0.75340	0.51034	-0.59030	0.32078	135.589	-0.67275	-0.50729
0.10063	-0.10771	-0.36401	-143.344	-0.11234	-0.31720	-0.40640	138.547	-0.36453	-0.21373
0.35259	0.97349	157.249	-0.67418	0.38458	-0.35771	101.640	0.05478	-0.41218	-0.12938
0.35581	0.84770	0.99945	-0.36019	0.55733	-0.24941	117.924	0.67847	-0.13368	-0.20204
0.98720	0.48128	0.69787	0.35099	-0.14702	0.08115	0.98234	0.13127	0.05029	0.03586
-0.14991	0.63240	0.17007	-0.98917	0.18833	-0.53346	-0.24575	163.575	-0.65791	-0.47745
0.42174	0.18105	0.27248	-0.94933	-0.83523	-0.34093	-0.92894	0.46553	-0.82782	-0.13701
0.19779	0.31522	0.11900	-0.87445	0.21769	-0.27735	0.30083	123.505	-0.22775	-0.24097
0.46216	-0.16641	0.08444	-126.832	-0.06797	-0.12416	0.26456	0.61537	-0.07434	0.03231
0.13806	0.29383	0.47362	-138.402	-0.11349	-0.41658	-0.21565	0.72170	-0.59817	-0.18043
0.75307	-0.28743	0.01004	-0.92896	-0.57011	-0.01611	-0.08362	0.27010	-0.15094	0.12562
0.42320	0.14397	0.61775	-123.629	0.10007	-0.19958	0.54774	0.33094	-0.16469	0.01981
0.76485	-0.70364	-0.37010	-128.537	-0.11579	0.14979	0.56485	0.50090	0.39137	0.25255
-0.09820	141.199	231.881	-135.667	0.71451	-0.69889	0.98823	-0.08598	-0.82474	-0.25945
0.49694	-0.10211	-0.12065	-0.90106	-0.11557	-0.09237	0.20121	0.87874	-0.05724	-0.04031
0.22501	0.05631	0.10310	-125.303	0.57296	-0.17259	0.88348	113.030	0.14113	-0.09757
0.23595	0.96136	163.906	-0.96674	0.48306	-0.42030	101.083	0.06329	-0.45142	-0.13588
0.20641	0.97706	122.752	-0.67363	-0.07651	-0.49961	0.04815	0.39683	-0.83309	-0.28567
0.48792	-0.61911	-114.878	-0.97101	-0.44936	-0.00841	-0.48363	154.175	0.01190	-0.07874
0.62849	0.72605	148.828	-0.58926	-0.12463	-0.25048	0.64004	-0.38258	-0.47244	0.01467
0.24224	118.790	154.909	-0.41369	0.86649	-0.34981	156.983	0.48884	-0.19407	-0.23788
0.02365	193.573	198.659	0.07186	-0.03152	-0.76181	-0.04689	0.44872	-136.246	-0.58910
0.23418	0.56810	0.36662	-0.55806	0.26989	-0.29016	0.46643	115.838	-0.26910	-0.28218
-0.29955	109.355	0.18332	-0.38856	0.56920	-0.59147	0.09496	222.967	-0.62513	-0.70744
-0.26662	138.180	198.245	-141.033	0.82712	-0.74516	0.85501	0.41733	-0.81799	-0.37138
0.33200	0.82779	0.61856	-0.07263	0.76591	-0.18083	138.857	119.370	0.08313	-0.28171
0.24225	0.52345	-0.19479	-0.10472	0.34747	-0.20384	0.49140	180.483	-0.08298	-0.39328
0.02615	0.97859	142.049	-112.829	0.49252	-0.52917	0.68307	0.45782	-0.59631	-0.25863
0.62618	0.85409	160.557	-0.47812	-0.27090	-0.30195	0.43269	-0.45687	-0.64316	-0.02429
0.24065	141.364	174.461	-0.18651	0.76907	-0.40736	144.729	0.42249	-0.36743	-0.29931
0.36025	156.342	227.727	-0.26072	-0.11899	-0.56948	0.37463	-0.43635	-108.284	-0.25309
0.18430	223.078	292.253	0.12818	0.58692	-0.66886	127.628	-0.28971	-0.99977	-0.41066
0.27969	-0.17511	-0.38297	-119.048	0.02746	-0.16941	0.05978	129.468	-0.07406	-0.12691
0.51837	183.337	171.401	106.082	-0.03154	-0.40758	0.61441	0.40451	-0.83653	-0.46437
-0.25006	0.79716	0.09796	-0.80329	0.21349	-0.59631	-0.37223	192.869	-0.75880	-0.59869
0.25785	126.405	172.427	-0.42891	0.61272	-0.41297	123.952	0.25564	-0.42849	-0.23975
