projection_function	clustering_algorithm	n_cubes	perc_overlap	unclustered_samples	num_clusters	num_edges	num_connected_components	std_dev_cluster_sizes	combined_score
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	5	0.1	491	44	7	37	16.638350601661262	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	5	0.25	484	49	11	38	16.070492360162536	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	5	0.5	484	73	35	38	18.242101142177706	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	5	0.75	484	148	216	38	18.130104631170237	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	10	0.1	518	41	7	34	17.184445742903062	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	10	0.25	499	48	12	36	16.058432796785898	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	10	0.5	484	71	33	38	18.403142655300776	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	10	0.75	484	147	213	38	18.151821919383526	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	15	0.1	538	39	8	31	18.973388748583243	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	15	0.25	510	48	13	35	21.61789382278795	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	15	0.5	484	70	32	38	18.37227836292761	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	15	0.75	484	146	210	38	18.13480437357556	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	20	0.1	570	33	5	28	18.831035477459857	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	20	0.25	525	46	13	33	16.280925204663543	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	20	0.5	492	66	29	37	18.808419856115776	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	20	0.75	484	142	199	38	18.3359997580053	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	30	0.1	597	32	8	24	18.817768157714667	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	30	0.25	562	42	14	28	22.560538361405793	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	30	0.5	517	62	28	34	19.2795309116902	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	30	0.75	484	139	192	38	18.493166443678785	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	50	0.1	637	27	6	21	20.2403934096457	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	50	0.25	603	36	13	23	17.763079861691764	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	50	0.5	559	61	33	28	16.543379897587563	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	50	0.75	495	136	198	37	17.34927054896876	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	5	0.1	32	8	6	2	202.69862943542563	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	5	0.25	21	7	6	1	240.02431849583022	0.31
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	5	0.5	14	6	5	1	312.3641037848833	0.5
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	5	0.75	12	5	9	1	228.81835590703818	0.59
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	10	0.1	70	9	8	1	123.6338680675054	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	10	0.25	52	8	7	1	141.22405735213812	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	10	0.5	25	12	11	1	195.07341922693848	0.25000000000000006
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	10	0.75	13	13	33	1	312.36914893615955	0.42
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	15	0.1	116	11	9	2	91.57059328037036	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	15	0.25	86	13	12	1	109.74715426753663	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	15	0.5	43	13	12	1	145.228283877039	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	15	0.75	15	17	45	1	244.48600132582368	0.2
