projection_function	clustering_algorithm	n_cubes	perc_overlap	unclustered_samples	num_clusters	num_edges	num_connected_components	std_dev_cluster_sizes	combined_score
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	5	0.1	307	43	12	31	6.891965521582072	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	5	0.25	279	52	19	33	6.8817946520610525	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	5	0.5	268	67	33	34	7.082054165333166	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	5	0.75	268	123	167	34	8.067802110507479	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	10	0.1	398	41	13	28	4.024611967284547	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	10	0.25	347	51	22	29	4.755376972432609	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	10	0.5	278	74	41	33	6.103217965943055	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	10	0.75	268	136	205	34	7.591480011936164	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	15	0.1	454	38	11	27	3.1043709690649743	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	15	0.25	400	47	20	27	3.4372075372520268	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	15	0.5	310	76	45	31	4.583841153769586	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	15	0.75	268	142	225	34	6.740187162940651	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	20	0.1	525	32	11	21	2.1557970538758977	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	20	0.25	484	41	21	20	2.437316475191097	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	20	0.5	351	72	42	30	3.7080992435478315	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	20	0.75	268	144	238	34	6.026365521964378	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	30	0.1	605	21	3	18	1.401327520910682	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	30	0.25	552	31	10	21	1.6823748142458448	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	30	0.5	469	58	37	21	2.645358036991654	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	30	0.75	295	147	260	31	4.647010427099848	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	50	0.1	674	10	0	10	0.4898979485566356	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	50	0.25	656	13	2	11	0.8634593969478327	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	50	0.5	527	43	16	27	1.617575187188763	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=1.0)	50	0.75	383	130	246	26	3.0372928619074724	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	5	0.1	30	21	16	5	51.40281542003876	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	5	0.25	21	22	18	4	58.08891730829201	0.15
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	5	0.5	17	23	19	4	93.54642610719615	0.24999999999999997
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	5	0.75	13	20	36	4	174.0892299942762	0.22999999999999998
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	10	0.1	66	35	22	13	23.854080214025082	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	10	0.25	52	36	28	8	30.411821024474865	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	10	0.5	31	42	38	4	42.89025836992065	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	10	0.75	15	45	111	4	89.71287533013307	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	15	0.1	123	45	30	15	11.864793859706682	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	15	0.25	81	49	38	11	18.50087517769609	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	15	0.5	40	56	50	6	28.632785680340753	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	15	0.75	17	67	176	4	59.468534298564265	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	20	0.1	151	55	33	22	7.973178177360261	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	20	0.25	111	62	50	12	10.762077889491403	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	20	0.5	55	70	61	9	17.561065469047236	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	20	0.75	22	85	227	4	42.123913434591785	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	30	0.1	233	58	27	31	3.7370863659460474	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	30	0.25	180	68	48	20	4.379983567933026	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	30	0.5	98	91	83	11	10.93401623490831	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	30	0.75	36	112	297	6	28.08582305421461	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	50	0.1	360	56	18	38	2.528157754700656	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	50	0.25	293	69	45	24	2.8757070854549585	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	50	0.5	181	109	93	17	4.225047057867145	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=3.0)	50	0.75	63	160	419	9	14.640184425067877	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	5	0.1	21	9	5	4	89.62197702255902	0.23
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	5	0.25	17	10	7	3	102.80155640845133	0.41
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	5	0.5	13	11	8	3	145.32289496721737	0.54
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	5	0.75	10	14	24	3	232.1396153619803	0.53
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	10	0.1	34	13	9	4	45.1510286108233	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	10	0.25	33	13	10	3	54.78046557199038	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	10	0.5	19	18	15	3	80.22391503292442	0.30999999999999994
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	10	0.75	10	23	51	3	144.18101938745892	0.16999999999999996
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	15	0.1	38	18	14	4	29.366406018938306	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	15	0.25	37	18	15	3	35.6742809456288	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	15	0.5	22	22	19	3	54.85480459154749	0.14
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	15	0.75	13	29	69	3	104.00940916002207	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	20	0.1	46	22	18	4	22.119369993867814	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	20	0.25	41	23	20	3	27.00213532129011	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	20	0.5	32	25	22	3	39.90789395595814	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	20	0.75	16	36	90	3	79.73859200886078	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	30	0.1	62	28	25	3	12.942326936475228	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	30	0.25	60	28	27	1	15.425925699077817	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	30	0.5	42	33	30	3	25.68932133176517	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	30	0.75	21	44	111	3	54.31186250802774	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	50	0.1	72	44	36	8	8.0156097709407	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	50	0.25	67	45	44	1	9.586770720086415	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	50	0.5	60	46	45	1	13.852995417655631	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	50	0.75	32	59	159	3	31.689367773379015	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	5	0.1	10	5	4	1	79.47427256666147	0.6000000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	5	0.25	10	5	4	1	89.19730937646045	0.6000000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	5	0.5	5	7	5	2	161.76324347259953	0.75
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	5	0.75	5	9	15	2	269.6711760827926	0.81
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	10	0.1	10	10	9	1	43.29480338331611	0.7
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	10	0.25	10	10	9	1	51.89884391775987	0.7
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	10	0.5	10	10	9	1	73.13439683213365	0.7
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	10	0.75	5	12	25	2	151.28945766311676	0.72
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	15	0.1	10	15	14	1	28.87367120559644	0.6699999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	15	0.25	10	15	14	1	34.90647822714606	0.6699999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	15	0.5	10	15	14	1	52.00316229700737	0.6699999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	15	0.75	5	17	40	2	106.90904195901841	0.52
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	20	0.1	10	20	18	2	22.551884621911313	0.56
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	20	0.25	10	20	19	1	27.0966326321187	0.5800000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	20	0.5	10	20	19	1	38.879814814373795	0.5800000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	20	0.75	5	21	54	2	77.68688242348429	0.33999999999999997
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	30	0.1	11	29	25	4	14.526780386402491	0.30999999999999994
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	30	0.25	11	29	27	2	17.41102743486705	0.35
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	30	0.5	10	30	29	1	26.2233144781933	0.38
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	30	0.75	10	30	84	1	50.71252310820277	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.1	24	44	37	7	8.576828287372575	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.25	21	45	44	1	10.301240486249972	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.5	11	48	47	1	15.733774159608227	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.75	10	50	144	1	31.545548021868317	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.1	0	5	4	1	80.95282576908603	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.25	0	5	4	1	91.16709932865035	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.5	0	5	4	1	126.83911068751625	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.75	0	5	9	1	142.45420316719336	0.95
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.1	0	10	9	1	44.398648628083265	1.0
